,Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
48,Albania,Potatoes,2000,1485,565.82,16.67,141228
49,Albania,Soybeans,2000,1485,565.82,16.67,15000
50,Albania,Wheat,2000,1485,565.82,16.67,30455
51,Albania,Maize,2001,1485,628.79,16.59,38135
52,Albania,Potatoes,2001,1485,628.79,16.59,148818
53,Albania,Soybeans,2001,1485,628.79,16.59,20000
54,Albania,Wheat,2001,1485,628.79,16.59,28220
55,Albania,Maize,2002,1485,691.75,16.47,39460
56,Albania,Potatoes,2002,1485,691.75,16.47,153868
57,Albania,Soybeans,2002,1485,691.75,16.47,20000
58,Albania,Wheat,2002,1485,691.75,16.47,31617
59,Albania,Maize,2004,1485,817.68,16.16,46197
60,Albania,Potatoes,2004,1485,817.68,16.16,149346
61,Albania,Soybeans,2004,1485,817.68,16.16,13333
62,Albania,Wheat,2004,1485,817.68,16.16,31130
63,Albania,Maize,2005,1485,880.64,15.67,45442
64,Albania,Potatoes,2005,1485,880.64,15.67,167061
65,Albania,Soybeans,2005,1485,880.64,15.67,17500
66,Albania,Wheat,2005,1485,880.64,15.67,31582
67,Albania,Maize,2006,1485,943.61,15.92,50111
68,Albania,Potatoes,2006,1485,943.61,15.92,170745
69,Albania,Soybeans,2006,1485,943.61,15.92,20000
70,Albania,Wheat,2006,1485,943.61,15.92,30787
71,Albania,Maize,2007,1485,1006.57,16.67,46732
72,Albania,Potatoes,2007,1485,1006.57,16.67,188902
73,Albania,Soybeans,2007,1485,1006.57,16.67,20000
74,Albania,Wheat,2007,1485,1006.57,16.67,35496
75,Albania,Maize,2008,1485,1069.54,16.71,50000
76,Albania,Potatoes,2008,1485,1069.54,16.71,193878
77,Albania,Soybeans,2008,1485,1069.54,16.71,20000
78,Albania,Wheat,2008,1485,1069.54,16.71,40168
79,Albania,Maize,2009,1485,1132.5,16.73,55693
80,Albania,Potatoes,2009,1485,1132.5,16.73,219780
81,Albania,Soybeans,2009,1485,1132.5,16.73,16667
82,Albania,Wheat,2009,1485,1132.5,16.73,40229
83,Albania,Maize,2010,1485,1311.17,16.52,66790
84,Albania,Potatoes,2010,1485,1311.17,16.52,231111
85,Albania,Soybeans,2010,1485,1311.17,16.52,16667
86,Albania,Wheat,2010,1485,1311.17,16.52,39905
87,Albania,Maize,2011,1485,1302.63,16.45,59869
88,Albania,Potatoes,2011,1485,1302.63,16.45,242211
89,Albania,Soybeans,2011,1485,1302.63,16.45,18519
90,Albania,Wheat,2011,1485,1302.63,16.45,42301
91,Albania,Maize,2012,1485,766.25,16.7,67290
92,Albania,Potatoes,2012,1485,766.25,16.7,250538
93,Albania,Soybeans,2012,1485,766.25,16.7,13333
94,Albania,Wheat,2012,1485,766.25,16.7,41096
95,Albania,Maize,2013,1485,982.32,17.41,69533
96,Albania,Potatoes,2013,1485,982.32,17.41,260110
97,Albania,Soybeans,2013,1485,982.32,17.41,10000
98,Albania,Wheat,2013,1485,982.32,17.41,41292
99,Algeria,Maize,1990,89,1828.92,17.48,16500
100,Algeria,Potatoes,1990,89,1828.92,17.48,78936
101,Algeria,"Rice, paddy",1990,89,1828.92,17.48,28000
102,Algeria,Sorghum,1990,89,1828.92,17.48,16571
103,Algeria,Wheat,1990,89,1828.92,17.48,6315
104,Algeria,Maize,1991,89,2461.8,16.26,19231
105,Algeria,Potatoes,1991,89,2461.8,16.26,90747
106,Algeria,"Rice, paddy",1991,89,2461.8,16.26,26786
107,Algeria,Sorghum,1991,89,2461.8,16.26,24231
108,Algeria,Wheat,1991,89,2461.8,16.26,10809
109,Algeria,Maize,1992,89,1215.47,16.27,22828
110,Algeria,Potatoes,1992,89,1215.47,16.27,107917
111,Algeria,"Rice, paddy",1992,89,1215.47,16.27,24733
112,Algeria,Sorghum,1992,89,1215.47,16.27,40000
113,Algeria,Wheat,1992,89,1215.47,16.27,9939
114,Algeria,Maize,1993,89,1021.89,17,12500
115,Algeria,Potatoes,1993,89,1021.89,17,111215
116,Algeria,"Rice, paddy",1993,89,1021.89,17,23111
117,Algeria,Sorghum,1993,89,1021.89,17,50000
118,Algeria,Wheat,1993,89,1021.89,17,8097
119,Algeria,Maize,1994,89,1255.02,17.88,4512
120,Algeria,Potatoes,1994,89,1255.02,17.88,95078
121,Algeria,"Rice, paddy",1994,89,1255.02,17.88,21374
122,Algeria,Wheat,1994,89,1255.02,17.88,7999
123,Algeria,Maize,1995,89,2697.09,17.36,16115
124,Algeria,Potatoes,1995,89,2697.09,17.36,136768
125,Algeria,"Rice, paddy",1995,89,2697.09,17.36,19598
126,Algeria,Sorghum,1995,89,2697.09,17.36,12667
127,Algeria,Wheat,1995,89,2697.09,17.36,8924
128,Algeria,Maize,1996,89,479.77,16.76,17154
129,Algeria,Potatoes,1996,89,479.77,16.76,134629
130,Algeria,"Rice, paddy",1996,89,479.77,16.76,17861
131,Algeria,Sorghum,1996,89,479.77,16.76,14750
132,Algeria,Wheat,1996,89,479.77,16.76,13090
133,Algeria,Maize,1997,89,401.22,17.84,21417
134,Algeria,Potatoes,1997,89,401.22,17.84,141042
135,Algeria,"Rice, paddy",1997,89,401.22,17.84,15000
136,Algeria,Sorghum,1997,89,401.22,17.84,40000
137,Algeria,Wheat,1997,89,401.22,17.84,8016
138,Algeria,Maize,1998,89,322.84,17.14,17222
139,Algeria,Potatoes,1998,89,322.84,17.14,160256
140,Algeria,"Rice, paddy",1998,89,322.84,17.14,15000
141,Algeria,Sorghum,1998,89,322.84,17.14,24500
142,Algeria,Wheat,1998,89,322.84,17.14,8847
143,Algeria,Maize,1999,89,654.45,17.97,22375
144,Algeria,Potatoes,1999,89,654.45,17.97,153532
145,Algeria,"Rice, paddy",1999,89,654.45,17.97,13942
146,Algeria,Sorghum,1999,89,654.45,17.97,27000
147,Algeria,Wheat,1999,89,654.45,17.97,10711
148,Algeria,Maize,2000,89,603.67,17.9,36186
149,Algeria,Potatoes,2000,89,603.67,17.9,166143
150,Algeria,"Rice, paddy",2000,89,603.67,17.9,13052
151,Algeria,Sorghum,2000,89,603.67,17.9,69500
152,Algeria,Wheat,2000,89,603.67,17.9,9194
153,Algeria,Maize,2001,89,710.11,18.13,27175
154,Algeria,Potatoes,2001,89,710.11,18.13,147018
155,Algeria,"Rice, paddy",2001,89,710.11,18.13,12314
156,Algeria,Sorghum,2001,89,710.11,18.13,27750
157,Algeria,Wheat,2001,89,710.11,18.13,11104
158,Algeria,Maize,2002,89,816.55,17.85,33480
159,Algeria,Potatoes,2002,89,816.55,17.85,183774
160,Algeria,"Rice, paddy",2002,89,816.55,17.85,12959
161,Algeria,Sorghum,2002,89,816.55,17.85,33900
162,Algeria,Wheat,2002,89,816.55,17.85,10739
163,Algeria,Maize,2004,89,3747.86,17.38,31729
164,Algeria,Potatoes,2004,89,3747.86,17.38,203585
165,Algeria,"Rice, paddy",2004,89,3747.86,17.38,12829
166,Algeria,Sorghum,2004,89,3747.86,17.38,43316
167,Algeria,Wheat,2004,89,3747.86,17.38,13582
168,Algeria,Maize,2005,89,3662.87,17.19,33864
169,Algeria,Potatoes,2005,89,3662.87,17.19,216267
170,Algeria,"Rice, paddy",2005,89,3662.87,17.19,12998
171,Algeria,Sorghum,2005,89,3662.87,17.19,33486
172,Algeria,Wheat,2005,89,3662.87,17.19,15057
173,Algeria,Maize,2006,89,4110.72,18.13,65668
174,Algeria,Potatoes,2006,89,4110.72,18.13,220689
175,Algeria,"Rice, paddy",2006,89,4110.72,18.13,12769
176,Algeria,Sorghum,2006,89,4110.72,18.13,56728
177,Algeria,Wheat,2006,89,4110.72,18.13,15068
178,Algeria,Maize,2007,89,5390.79,17.42,85625
179,Algeria,Potatoes,2007,89,5390.79,17.42,189927
180,Algeria,"Rice, paddy",2007,89,5390.79,17.42,13375
181,Algeria,Sorghum,2007,89,5390.79,17.42,119059
182,Algeria,Wheat,2007,89,5390.79,17.42,12742
183,Algeria,Maize,2008,89,11556.12,17.55,44714
184,Algeria,Potatoes,2008,89,11556.12,17.55,236393
185,Algeria,"Rice, paddy",2008,89,11556.12,17.55,13952
186,Algeria,Sorghum,2008,89,11556.12,17.55,61786
187,Algeria,Wheat,2008,89,11556.12,17.55,11038
188,Algeria,Maize,2009,89,3867.99,17.78,30914
189,Algeria,Potatoes,2009,89,3867.99,17.78,250764
190,Algeria,"Rice, paddy",2009,89,3867.99,17.78,14594
191,Algeria,Sorghum,2009,89,3867.99,17.78,90465
192,Algeria,Wheat,2009,89,3867.99,17.78,15975
193,Algeria,Maize,2010,89,1295.88,17.59,25827
194,Algeria,Potatoes,2010,89,1295.88,17.59,270526
195,Algeria,"Rice, paddy",2010,89,1295.88,17.59,15305
196,Algeria,Sorghum,2010,89,1295.88,17.59,30286
197,Algeria,Wheat,2010,89,1295.88,17.59,14838
198,Algeria,Maize,2011,89,13861.76,17.79,23374
199,Algeria,Potatoes,2011,89,13861.76,17.79,292806
200,Algeria,"Rice, paddy",2011,89,13861.76,17.79,16081
201,Algeria,Sorghum,2011,89,13861.76,17.79,100000
202,Algeria,Wheat,2011,89,13861.76,17.79,17405
203,Algeria,Maize,2012,89,17379.76,17.91,25583
204,Algeria,Potatoes,2012,89,17379.76,17.91,304291
205,Algeria,"Rice, paddy",2012,89,17379.76,17.91,16667
206,Algeria,Sorghum,2012,89,17379.76,17.91,206000
207,Algeria,Wheat,2012,89,17379.76,17.91,17639
208,Algeria,Maize,2013,89,17278.65,17.65,33649
209,Algeria,Potatoes,2013,89,17278.65,17.65,303218
210,Algeria,"Rice, paddy",2013,89,17278.65,17.65,17778
211,Algeria,Sorghum,2013,89,17278.65,17.65,60000
212,Algeria,Wheat,2013,89,17278.65,17.65,19100
213,Angola,Cassava,1990,1010,64,24.12,41177
214,Angola,Maize,1990,1010,64,24.12,2736
215,Angola,Potatoes,1990,1010,64,24.12,40000
216,Angola,"Rice, paddy",1990,1010,64,24.12,9512
217,Angola,Sweet potatoes,1990,1010,64,24.12,89342
218,Angola,Wheat,1990,1010,64,24.12,7995
219,Angola,Cassava,1991,1010,79,24.02,40295
220,Angola,Maize,1991,1010,79,24.02,4013
221,Angola,Potatoes,1991,1010,79,24.02,40000
222,Angola,"Rice, paddy",1991,1010,79,24.02,10000
223,Angola,Sweet potatoes,1991,1010,79,24.02,83001
224,Angola,Wheat,1991,1010,79,24.02,8000
225,Angola,Cassava,1992,1010,23,23.96,42295
226,Angola,Maize,1992,1010,23,23.96,3778
227,Angola,Potatoes,1992,1010,23,23.96,40000
228,Angola,"Rice, paddy",1992,1010,23,23.96,9106
229,Angola,Sweet potatoes,1992,1010,23,23.96,90000
230,Angola,Wheat,1992,1010,23,23.96,8000
231,Angola,Cassava,1993,1010,169,24.15,42295
232,Angola,Maize,1993,1010,169,24.15,2627
233,Angola,Potatoes,1993,1010,169,24.15,70000
234,Angola,"Rice, paddy",1993,1010,169,24.15,8000
235,Angola,Sweet potatoes,1993,1010,169,24.15,88095
236,Angola,Wheat,1993,1010,169,24.15,8876
237,Angola,Cassava,1994,1010,25.5,24.04,58596
238,Angola,Maize,1994,1010,25.5,24.04,2463
239,Angola,Potatoes,1994,1010,25.5,24.04,90000
240,Angola,"Rice, paddy",1994,1010,25.5,24.04,8750
241,Angola,Sweet potatoes,1994,1010,25.5,24.04,83192
242,Angola,Wheat,1994,1010,25.5,24.04,10000
243,Angola,Cassava,1995,1010,336,24.56,51000
244,Angola,Maize,1995,1010,336,24.56,3517
245,Angola,Potatoes,1995,1010,336,24.56,76738
246,Angola,"Rice, paddy",1995,1010,336,24.56,14615
247,Angola,Sweet potatoes,1995,1010,336,24.56,81138
248,Angola,Wheat,1995,1010,336,24.56,11855
249,Angola,Cassava,1996,1010,40,24.11,48077
250,Angola,Maize,1996,1010,40,24.11,6993
251,Angola,Potatoes,1996,1010,40,24.11,70000
252,Angola,"Rice, paddy",1996,1010,40,24.11,17500
253,Angola,Sweet potatoes,1996,1010,40,24.11,85455
254,Angola,Wheat,1996,1010,40,24.11,13738
255,Angola,Cassava,1997,1010,40,24.06,44205
256,Angola,Maize,1997,1010,40,24.06,5959
257,Angola,Potatoes,1997,1010,40,24.06,68571
258,Angola,"Rice, paddy",1997,1010,40,24.06,20000
259,Angola,Sweet potatoes,1997,1010,40,24.06,78098
260,Angola,Wheat,1997,1010,40,24.06,15509
261,Angola,Cassava,1998,1010,40,24.96,55728
262,Angola,Maize,1998,1010,40,24.96,7396
263,Angola,Potatoes,1998,1010,40,24.96,62724
264,Angola,"Rice, paddy",1998,1010,40,24.96,20000
265,Angola,Sweet potatoes,1998,1010,40,24.96,76256
266,Angola,Wheat,1998,1010,40,24.96,17143
267,Angola,Cassava,1999,1010,40,24.37,59821
268,Angola,Maize,1999,1010,40,24.37,6361
269,Angola,Potatoes,1999,1010,40,24.37,54597
270,Angola,"Rice, paddy",1999,1010,40,24.37,14235
271,Angola,Sweet potatoes,1999,1010,40,24.37,82865
272,Angola,Wheat,1999,1010,40,24.37,17391
273,Angola,Cassava,2000,1010,40,24.41,82992
274,Angola,Maize,2000,1010,40,24.41,5745
275,Angola,Potatoes,2000,1010,40,24.41,29885
276,Angola,"Rice, paddy",2000,1010,40,24.41,13454
277,Angola,Sorghum,2000,1010,40,24.41,3333
278,Angola,Soybeans,2000,1010,40,24.41,2333
279,Angola,Sweet potatoes,2000,1010,40,24.41,34938
280,Angola,Wheat,2000,1010,40,24.41,17023
281,Angola,Cassava,2001,1010,40,24.43,94072
282,Angola,Maize,2001,1010,40,24.43,5754
283,Angola,Potatoes,2001,1010,40,24.43,42552
284,Angola,"Rice, paddy",2001,1010,40,24.43,13701
285,Angola,Sorghum,2001,1010,40,24.43,3571
286,Angola,Soybeans,2001,1010,40,24.43,2500
287,Angola,Sweet potatoes,2001,1010,40,24.43,44458
288,Angola,Wheat,2001,1010,40,24.43,16667
289,Angola,Cassava,2002,1010,40,24.79,110071
290,Angola,Maize,2002,1010,40,24.79,6706
291,Angola,Potatoes,2002,1010,40,24.79,42754
292,Angola,"Rice, paddy",2002,1010,40,24.79,13198
293,Angola,Sorghum,2002,1010,40,24.79,3400
294,Angola,Soybeans,2002,1010,40,24.79,2857
295,Angola,Sweet potatoes,2002,1010,40,24.79,42190
296,Angola,Wheat,2002,1010,40,24.79,15455
297,Angola,Cassava,2004,1010,40,24.22,125605
298,Angola,Maize,2004,1010,40,24.22,5404
299,Angola,Potatoes,2004,1010,40,24.22,20150
300,Angola,"Rice, paddy",2004,1010,40,24.22,11584
301,Angola,Sorghum,2004,1010,40,24.22,3333
302,Angola,Soybeans,2004,1010,40,24.22,3600
303,Angola,Sweet potatoes,2004,1010,40,24.22,45360
304,Angola,Wheat,2004,1010,40,24.22,12442
305,Angola,Cassava,2005,1010,40,24.41,117628
306,Angola,Maize,2005,1010,40,24.41,6736
307,Angola,Potatoes,2005,1010,40,24.41,23646
308,Angola,"Rice, paddy",2005,1010,40,24.41,6977
309,Angola,Sorghum,2005,1010,40,24.41,3333
310,Angola,Soybeans,2005,1010,40,24.41,3793
311,Angola,Sweet potatoes,2005,1010,40,24.41,46159
312,Angola,Wheat,2005,1010,40,24.41,10946
313,Angola,Cassava,2006,1010,40,24.14,117201
314,Angola,Maize,2006,1010,40,24.14,4687
315,Angola,Potatoes,2006,1010,40,24.14,52148
316,Angola,"Rice, paddy",2006,1010,40,24.14,4947
317,Angola,Sorghum,2006,1010,40,24.14,4091
318,Angola,Soybeans,2006,1010,40,24.14,4286
319,Angola,Sweet potatoes,2006,1010,40,24.14,44240
320,Angola,Wheat,2006,1010,40,24.14,10000
321,Angola,Cassava,2007,1010,40,24.24,115387
322,Angola,Maize,2007,1010,40,24.24,5091
323,Angola,Potatoes,2007,1010,40,24.24,62138
324,Angola,"Rice, paddy",2007,1010,40,24.24,5143
325,Angola,Sorghum,2007,1010,40,24.24,4031
326,Angola,Soybeans,2007,1010,40,24.24,6883
327,Angola,Sweet potatoes,2007,1010,40,24.24,58855
328,Angola,Wheat,2007,1010,40,24.24,10000
329,Angola,Cassava,2008,1010,40,24.27,148084
330,Angola,Maize,2008,1010,40,24.27,7946
331,Angola,Potatoes,2008,1010,40,24.27,85085
332,Angola,"Rice, paddy",2008,1010,40,24.27,5084
333,Angola,Sorghum,2008,1010,40,24.27,929
334,Angola,Soybeans,2008,1010,40,24.27,8575
335,Angola,Sweet potatoes,2008,1010,40,24.27,65437
336,Angola,Wheat,2008,1010,40,24.27,10000
337,Angola,Cassava,2009,1010,40,24.33,151759
338,Angola,Maize,2009,1010,40,24.33,6614
339,Angola,Potatoes,2009,1010,40,24.33,86509
340,Angola,"Rice, paddy",2009,1010,40,24.33,6028
341,Angola,Sorghum,2009,1010,40,24.33,2480
342,Angola,Soybeans,2009,1010,40,24.33,4449
343,Angola,Sweet potatoes,2009,1010,40,24.33,66475
344,Angola,Wheat,2009,1010,40,24.33,10000
345,Angola,Cassava,2010,1010,40,24.44,155782
346,Angola,Maize,2010,1010,40,24.44,7200
347,Angola,Potatoes,2010,1010,40,24.44,87425
348,Angola,"Rice, paddy",2010,1010,40,24.44,7403
349,Angola,Sorghum,2010,1010,40,24.44,2814
350,Angola,Soybeans,2010,1010,40,24.44,4446
351,Angola,Sweet potatoes,2010,1010,40,24.44,63001
352,Angola,Wheat,2010,1010,40,24.44,10526
353,Angola,Cassava,2011,1010,40,24.15,133649
354,Angola,Maize,2011,1010,40,24.15,7376
355,Angola,Potatoes,2011,1010,40,24.15,81366
356,Angola,"Rice, paddy",2011,1010,40,24.15,8914
357,Angola,Sorghum,2011,1010,40,24.15,3320
358,Angola,Soybeans,2011,1010,40,24.15,5294
359,Angola,Sweet potatoes,2011,1010,40,24.15,65512
360,Angola,Wheat,2011,1010,40,24.15,10959
361,Angola,Cassava,2012,1010,40,24.24,100073
362,Angola,Maize,2012,1010,40,24.24,7770
363,Angola,Potatoes,2012,1010,40,24.24,69381
364,Angola,"Rice, paddy",2012,1010,40,24.24,7703
365,Angola,Sorghum,2012,1010,40,24.24,998
366,Angola,Soybeans,2012,1010,40,24.24,1641
367,Angola,Sweet potatoes,2012,1010,40,24.24,52954
368,Angola,Wheat,2012,1010,40,24.24,11258
369,Angola,Cassava,2013,1010,40,24.55,140517
370,Angola,Maize,2013,1010,40,24.55,9467
371,Angola,Potatoes,2013,1010,40,24.55,63303
372,Angola,"Rice, paddy",2013,1010,40,24.55,12744
373,Angola,Sorghum,2013,1010,40,24.55,2415
374,Angola,Soybeans,2013,1010,40,24.55,4405
375,Angola,Sweet potatoes,2013,1010,40,24.55,73409
376,Angola,Wheat,2013,1010,40,24.55,9022
377,Argentina,Cassava,1990,591,26156,17.46,100000
378,Argentina,Cassava,1990,591,26156,17.67,100000
379,Argentina,Maize,1990,591,26156,17.46,34608
380,Argentina,Maize,1990,591,26156,17.67,34608
381,Argentina,Potatoes,1990,591,26156,17.46,202747
382,Argentina,Potatoes,1990,591,26156,17.67,202747
383,Argentina,"Rice, paddy",1990,591,26156,17.46,36709
384,Argentina,"Rice, paddy",1990,591,26156,17.67,36709
385,Argentina,Sorghum,1990,591,26156,17.46,28116
386,Argentina,Sorghum,1990,591,26156,17.67,28116
387,Argentina,Soybeans,1990,591,26156,17.46,21566
388,Argentina,Soybeans,1990,591,26156,17.67,21566
389,Argentina,Sweet potatoes,1990,591,26156,17.46,131864
390,Argentina,Sweet potatoes,1990,591,26156,17.67,131864
391,Argentina,Wheat,1990,591,26156,17.46,18947
392,Argentina,Wheat,1990,591,26156,17.67,18947
393,Argentina,Cassava,1991,591,26156,17.64,100000
394,Argentina,Cassava,1991,591,26156,17.86,100000
395,Argentina,Maize,1991,591,26156,17.64,40444
396,Argentina,Maize,1991,591,26156,17.86,40444
397,Argentina,Potatoes,1991,591,26156,17.64,205692
398,Argentina,Potatoes,1991,591,26156,17.86,205692
399,Argentina,"Rice, paddy",1991,591,26156,17.64,40294
400,Argentina,"Rice, paddy",1991,591,26156,17.86,40294
401,Argentina,Sorghum,1991,591,26156,17.64,33320
402,Argentina,Sorghum,1991,591,26156,17.86,33320
403,Argentina,Soybeans,1991,591,26156,17.64,22750
404,Argentina,Soybeans,1991,591,26156,17.86,22750
405,Argentina,Sweet potatoes,1991,591,26156,17.64,131364
406,Argentina,Sweet potatoes,1991,591,26156,17.86,131364
407,Argentina,Wheat,1991,591,26156,17.64,18972
408,Argentina,Wheat,1991,591,26156,17.86,18972
409,Argentina,Cassava,1992,591,26156,17.09,100000
410,Argentina,Cassava,1992,591,26156,17.51,100000
411,Argentina,Maize,1992,591,26156,17.09,45237
412,Argentina,Maize,1992,591,26156,17.51,45237
413,Argentina,Potatoes,1992,591,26156,17.09,199039
414,Argentina,Potatoes,1992,591,26156,17.51,199039
415,Argentina,"Rice, paddy",1992,591,26156,17.09,52075
416,Argentina,"Rice, paddy",1992,591,26156,17.51,52075
417,Argentina,Sorghum,1992,591,26156,17.09,36217
418,Argentina,Sorghum,1992,591,26156,17.51,36217
419,Argentina,Soybeans,1992,591,26156,17.09,22915
420,Argentina,Soybeans,1992,591,26156,17.51,22915
421,Argentina,Sweet potatoes,1992,591,26156,17.09,127273
422,Argentina,Sweet potatoes,1992,591,26156,17.51,127273
423,Argentina,Wheat,1992,591,26156,17.09,21809
424,Argentina,Wheat,1992,591,26156,17.51,21809
425,Argentina,Cassava,1993,591,26156,17.32,100000
426,Argentina,Cassava,1993,591,26156,17.53,100000
427,Argentina,Maize,1993,591,26156,17.32,43552
428,Argentina,Maize,1993,591,26156,17.53,43552
429,Argentina,Potatoes,1993,591,26156,17.32,210314
430,Argentina,Potatoes,1993,591,26156,17.53,210314
431,Argentina,"Rice, paddy",1993,591,26156,17.32,43559
432,Argentina,"Rice, paddy",1993,591,26156,17.53,43559
433,Argentina,Sorghum,1993,591,26156,17.32,39529
434,Argentina,Sorghum,1993,591,26156,17.53,39529
435,Argentina,Soybeans,1993,591,26156,17.32,21589
436,Argentina,Soybeans,1993,591,26156,17.53,21589
437,Argentina,Sweet potatoes,1993,591,26156,17.32,122955
438,Argentina,Sweet potatoes,1993,591,26156,17.53,122955
439,Argentina,Wheat,1993,591,26156,17.32,23272
440,Argentina,Wheat,1993,591,26156,17.53,23272
441,Argentina,Cassava,1994,591,30195,18.17,100000
442,Argentina,Cassava,1994,591,30195,18.31,100000
443,Argentina,Maize,1994,591,30195,18.17,42371
444,Argentina,Maize,1994,591,30195,18.31,42371
445,Argentina,Potatoes,1994,591,30195,18.17,230166
446,Argentina,Potatoes,1994,591,30195,18.31,230166
447,Argentina,"Rice, paddy",1994,591,30195,18.17,42989
448,Argentina,"Rice, paddy",1994,591,30195,18.31,42989
449,Argentina,Sorghum,1994,591,30195,18.17,35065
450,Argentina,Sorghum,1994,591,30195,18.31,35065
451,Argentina,Soybeans,1994,591,30195,18.17,20386
452,Argentina,Soybeans,1994,591,30195,18.31,20386
453,Argentina,Sweet potatoes,1994,591,30195,18.17,176667
454,Argentina,Sweet potatoes,1994,591,30195,18.31,176667
455,Argentina,Wheat,1994,591,30195,18.17,20237
456,Argentina,Wheat,1994,591,30195,18.31,20237
457,Argentina,Cassava,1995,591,37842,17.74,100000
458,Argentina,Cassava,1995,591,37842,17.62,100000
459,Argentina,Maize,1995,591,37842,17.74,45223
460,Argentina,Maize,1995,591,37842,17.62,45223
461,Argentina,Potatoes,1995,591,37842,17.74,274272
462,Argentina,Potatoes,1995,591,37842,17.62,274272
463,Argentina,"Rice, paddy",1995,591,37842,17.74,50306
464,Argentina,"Rice, paddy",1995,591,37842,17.62,50306
465,Argentina,Sorghum,1995,591,37842,17.74,34588
466,Argentina,Sorghum,1995,591,37842,17.62,34588
467,Argentina,Soybeans,1995,591,37842,17.74,20446
468,Argentina,Soybeans,1995,591,37842,17.62,20446
469,Argentina,Sweet potatoes,1995,591,37842,17.74,168000
470,Argentina,Sweet potatoes,1995,591,37842,17.62,168000
471,Argentina,Wheat,1995,591,37842,17.74,21675
472,Argentina,Wheat,1995,591,37842,17.62,21675
473,Argentina,Cassava,1996,591,54595,17.64,100000
474,Argentina,Cassava,1996,591,54595,17.97,100000
475,Argentina,Maize,1996,591,54595,17.64,40397
476,Argentina,Maize,1996,591,54595,17.97,40397
477,Argentina,Potatoes,1996,591,54595,17.64,228877
478,Argentina,Potatoes,1996,591,54595,17.97,228877
479,Argentina,"Rice, paddy",1996,591,54595,17.64,51031
480,Argentina,"Rice, paddy",1996,591,54595,17.97,51031
481,Argentina,Sorghum,1996,591,54595,17.64,38763
482,Argentina,Sorghum,1996,591,54595,17.97,38763
483,Argentina,Soybeans,1996,591,54595,17.64,21051
484,Argentina,Soybeans,1996,591,54595,17.97,21051
485,Argentina,Sweet potatoes,1996,591,54595,17.64,170000
486,Argentina,Sweet potatoes,1996,591,54595,17.97,170000
487,Argentina,Wheat,1996,591,54595,17.64,19344
488,Argentina,Wheat,1996,591,54595,17.97,19344
489,Argentina,Cassava,1997,591,77691,18.29,100000
490,Argentina,Cassava,1997,591,77691,18.54,100000
491,Argentina,Maize,1997,591,77691,18.29,45557
